# time  ID  size  fromHost  toHost  TTL  isResponse
22.0000 M1 500 H151 F220 1433 N 
45.0000 M2 500 H109 F220 1433 N 
61.0000 M3 500 H32 F220 1433 N 
76.0000 M4 500 H197 F220 1433 N 
92.0000 M5 500 H75 F220 1433 N 
108.0000 M6 500 H122 F220 1433 N 
126.0000 M7 500 H120 F220 1433 N 
142.0000 M8 500 H172 F220 1433 N 
164.0000 M9 500 H44 F220 1433 N 
180.0000 M10 500 H39 F220 1433 N 
196.0000 M11 500 H57 F220 1433 N 
216.0000 M12 500 H85 F220 1433 N 
239.0000 M13 500 H135 F220 1433 N 
257.0000 M14 500 H96 F220 1433 N 
277.0000 M15 500 H31 F220 1433 N 
295.0000 M16 500 H80 F220 1433 N 
317.0000 M17 500 H105 F220 1433 N 
335.0000 M18 500 H174 F220 1433 N 
351.0000 M19 500 H56 F220 1433 N 
369.0000 M20 500 H145 F220 1433 N 
388.0000 M21 500 H58 F220 1433 N 
406.0000 M22 500 H62 F220 1433 N 
421.0000 M23 500 H184 F220 1433 N 
443.0000 M24 500 H42 F220 1433 N 
467.0000 M25 500 H162 F220 1433 N 
490.0000 M26 500 H168 F220 1433 N 
506.0000 M27 500 H83 F220 1433 N 
522.0000 M28 500 H167 F220 1433 N 
538.0000 M29 500 H100 F220 1433 N 
554.0000 M30 500 H189 F220 1433 N 
577.0000 M31 500 H95 F220 1433 N 
601.0000 M32 500 H89 F220 1433 N 
625.0000 M33 500 H128 F220 1433 N 
643.0000 M34 500 H16 F220 1433 N 
658.0000 M35 500 H173 F220 1433 N 
678.0000 M36 500 H69 F220 1433 N 
702.0000 M37 500 H161 F220 1433 N 
723.0000 M38 500 H189 F220 1433 N 
738.0000 M39 500 H189 F220 1433 N 
754.0000 M40 500 H149 F220 1433 N 
771.0000 M41 500 H170 F220 1433 N 
789.0000 M42 500 H177 F220 1433 N 
810.0000 M43 500 H95 F220 1433 N 
828.0000 M44 500 H102 F220 1433 N 
847.0000 M45 500 H38 F220 1433 N 
866.0000 M46 500 H176 F220 1433 N 
885.0000 M47 500 H103 F220 1433 N 
906.0000 M48 500 H143 F220 1433 N 
928.0000 M49 500 H77 F220 1433 N 
949.0000 M50 500 H86 F220 1433 N 
966.0000 M51 500 H8 F220 1433 N 
981.0000 M52 500 H163 F220 1433 N 
999.0000 M53 500 H20 F220 1433 N 
1021.0000 M54 500 H2 F220 1433 N 
1044.0000 M55 500 H22 F220 1433 N 
1068.0000 M56 500 H50 F220 1433 N 
1092.0000 M57 500 H36 F220 1433 N 
1112.0000 M58 500 H14 F220 1433 N 
1131.0000 M59 500 H25 F220 1433 N 
1149.0000 M60 500 H1 F220 1433 N 
1171.0000 M61 500 H89 F220 1433 N 
1191.0000 M62 500 H181 F220 1433 N 
1213.0000 M63 500 H115 F220 1433 N 
1236.0000 M64 500 H77 F220 1433 N 
1257.0000 M65 500 H168 F220 1433 N 
1277.0000 M66 500 H174 F220 1433 N 
1298.0000 M67 500 H115 F220 1433 N 
1319.0000 M68 500 H91 F220 1433 N 
1337.0000 M69 500 H62 F220 1433 N 
1353.0000 M70 500 H179 F220 1433 N 
1368.0000 M71 500 H120 F220 1433 N 
1384.0000 M72 500 H158 F220 1433 N 
1406.0000 M73 500 H16 F220 1433 N 
1427.0000 M74 500 H53 F220 1433 N 
1446.0000 M75 500 H34 F220 1433 N 
1461.0000 M76 500 H56 F220 1433 N 
1484.0000 M77 500 H195 F220 1433 N 
1507.0000 M78 500 H198 F220 1433 N 
1527.0000 M79 500 H83 F220 1433 N 
1546.0000 M80 500 H93 F220 1433 N 
1568.0000 M81 500 H52 F220 1433 N 
1584.0000 M82 500 H51 F220 1433 N 
1607.0000 M83 500 H69 F220 1433 N 
1628.0000 M84 500 H77 F220 1433 N 
1650.0000 M85 500 H78 F220 1433 N 
1674.0000 M86 500 H28 F220 1433 N 
1696.0000 M87 500 H167 F220 1433 N 
1718.0000 M88 500 H113 F220 1433 N 
1740.0000 M89 500 H68 F220 1433 N 
1755.0000 M90 500 H69 F220 1433 N 
1778.0000 M91 500 H143 F220 1433 N 
1802.0000 M92 500 H104 F220 1433 N 
1825.0000 M93 500 H100 F220 1433 N 
1842.0000 M94 500 H135 F220 1433 N 
1858.0000 M95 500 H167 F220 1433 N 
1881.0000 M96 500 H55 F220 1433 N 
1899.0000 M97 500 H185 F220 1433 N 
1923.0000 M98 500 H118 F220 1433 N 
1946.0000 M99 500 H98 F220 1433 N 
1967.0000 M100 500 H156 F220 1433 N 
1987.0000 M101 500 H151 F220 1433 N 
2005.0000 M102 500 H75 F220 1433 N 
2027.0000 M103 500 H16 F220 1433 N 
2048.0000 M104 500 H174 F220 1433 N 
2064.0000 M105 500 H56 F220 1433 N 
2085.0000 M106 500 H153 F220 1433 N 
2106.0000 M107 500 H15 F220 1433 N 
2130.0000 M108 500 H131 F220 1433 N 
2149.0000 M109 500 H11 F220 1433 N 
2164.0000 M110 500 H47 F220 1433 N 
2185.0000 M111 500 H75 F220 1433 N 
2208.0000 M112 500 H190 F220 1433 N 
2228.0000 M113 500 H56 F220 1433 N 
2249.0000 M114 500 H62 F220 1433 N 
2271.0000 M115 500 H15 F220 1433 N 
2292.0000 M116 500 H15 F220 1433 N 
2312.0000 M117 500 H163 F220 1433 N 
