# time  created  delivered  delivered/created
22.0000 1 0 0.0000
45.0000 2 0 0.0000
61.0000 3 0 0.0000
76.0000 4 0 0.0000
92.0000 5 0 0.0000
108.0000 6 0 0.0000
126.0000 7 0 0.0000
142.0000 8 0 0.0000
164.0000 9 0 0.0000
180.0000 10 0 0.0000
196.0000 11 0 0.0000
216.0000 12 0 0.0000
239.0000 13 0 0.0000
257.0000 14 0 0.0000
261.0000 14 1 0.0714
277.0000 15 1 0.0667
281.0000 15 2 0.1333
295.0000 16 2 0.1250
305.0000 16 3 0.1875
317.0000 17 3 0.1765
335.0000 18 3 0.1667
351.0000 19 3 0.1579
369.0000 20 3 0.1500
388.0000 21 3 0.1429
406.0000 22 3 0.1364
421.0000 23 3 0.1304
443.0000 24 3 0.1250
444.0000 24 4 0.1667
452.0000 24 5 0.2083
464.0000 24 6 0.2500
467.0000 25 6 0.2400
490.0000 26 6 0.2308
506.0000 27 6 0.2222
522.0000 28 6 0.2143
538.0000 29 6 0.2069
547.0000 29 7 0.2414
553.0000 29 8 0.2759
554.0000 30 8 0.2667
577.0000 31 8 0.2581
601.0000 32 8 0.2500
605.0000 32 9 0.2813
625.0000 33 9 0.2727
643.0000 34 9 0.2647
658.0000 35 9 0.2571
660.0000 35 10 0.2857
678.0000 36 10 0.2778
688.0000 36 11 0.3056
702.0000 37 11 0.2973
709.0000 37 12 0.3243
710.0000 37 13 0.3514
723.0000 38 13 0.3421
738.0000 39 13 0.3333
754.0000 40 13 0.3250
755.0000 40 14 0.3500
771.0000 41 14 0.3415
779.0000 41 15 0.3659
789.0000 42 15 0.3571
789.0000 42 16 0.3810
800.0000 42 17 0.4048
808.0000 42 18 0.4286
810.0000 43 18 0.4186
828.0000 44 18 0.4091
842.0000 44 19 0.4318
847.0000 45 19 0.4222
866.0000 46 19 0.4130
885.0000 47 19 0.4043
906.0000 48 19 0.3958
915.0000 48 20 0.4167
917.0000 48 21 0.4375
928.0000 49 21 0.4286
949.0000 50 21 0.4200
955.0000 50 22 0.4400
966.0000 51 22 0.4314
981.0000 52 22 0.4231
991.0000 52 23 0.4423
999.0000 53 23 0.4340
1021.0000 54 23 0.4259
1026.0000 54 24 0.4444
1044.0000 55 24 0.4364
1055.0000 55 25 0.4545
1068.0000 56 25 0.4464
1080.0000 56 26 0.4643
1092.0000 57 26 0.4561
1112.0000 58 26 0.4483
1131.0000 59 26 0.4407
1140.0000 59 27 0.4576
1149.0000 60 27 0.4500
1164.0000 60 28 0.4667
1171.0000 61 28 0.4590
1174.0000 61 29 0.4754
1191.0000 62 29 0.4677
1197.0000 62 30 0.4839
1213.0000 63 30 0.4762
1236.0000 64 30 0.4688
1257.0000 65 30 0.4615
1270.0000 65 31 0.4769
1277.0000 66 31 0.4697
1298.0000 67 31 0.4627
1306.0000 67 32 0.4776
1319.0000 68 32 0.4706
1337.0000 69 32 0.4638
1353.0000 70 32 0.4571
1368.0000 71 32 0.4507
1384.0000 72 32 0.4444
1396.0000 72 33 0.4583
1406.0000 73 33 0.4521
1410.0000 73 34 0.4658
1426.0000 73 35 0.4795
1427.0000 74 35 0.4730
1446.0000 75 35 0.4667
1461.0000 76 35 0.4605
1482.0000 76 36 0.4737
1484.0000 77 36 0.4675
1494.0000 77 37 0.4805
1495.0000 77 38 0.4935
1503.0000 77 39 0.5065
1504.0000 77 40 0.5195
1507.0000 78 40 0.5128
1527.0000 79 40 0.5063
1546.0000 80 40 0.5000
1568.0000 81 40 0.4938
1584.0000 82 40 0.4878
1606.0000 82 41 0.5000
1607.0000 83 41 0.4940
1627.0000 83 42 0.5060
1628.0000 84 42 0.5000
1650.0000 85 42 0.4941
1654.0000 85 43 0.5059
1674.0000 86 43 0.5000
1696.0000 87 43 0.4943
1718.0000 88 43 0.4886
1727.0000 88 44 0.5000
1740.0000 89 44 0.4944
1755.0000 90 44 0.4889
1778.0000 91 44 0.4835
1802.0000 92 44 0.4783
1825.0000 93 44 0.4731
1828.0000 93 45 0.4839
1838.0000 93 46 0.4946
1842.0000 94 46 0.4894
1858.0000 95 46 0.4842
1879.0000 95 47 0.4947
