# time  created  delivered  delivered/created
22.0000 1 0 0.0000
45.0000 2 0 0.0000
61.0000 3 0 0.0000
76.0000 4 0 0.0000
92.0000 5 0 0.0000
108.0000 6 0 0.0000
126.0000 7 0 0.0000
142.0000 8 0 0.0000
164.0000 9 0 0.0000
180.0000 10 0 0.0000
196.0000 11 0 0.0000
216.0000 12 0 0.0000
236.0000 12 1 0.0833
239.0000 13 1 0.0769
257.0000 14 1 0.0714
265.0000 14 2 0.1429
277.0000 15 2 0.1333
295.0000 16 2 0.1250
313.0000 16 3 0.1875
317.0000 17 3 0.1765
329.0000 17 4 0.2353
335.0000 18 4 0.2222
351.0000 19 4 0.2105
369.0000 20 4 0.2000
387.0000 20 5 0.2500
388.0000 21 5 0.2381
406.0000 22 5 0.2273
421.0000 23 5 0.2174
443.0000 24 5 0.2083
467.0000 25 5 0.2000
490.0000 26 5 0.1923
506.0000 27 5 0.1852
522.0000 28 5 0.1786
538.0000 29 5 0.1724
538.0000 29 6 0.2069
554.0000 30 6 0.2000
573.0000 30 7 0.2333
577.0000 31 7 0.2258
601.0000 32 7 0.2188
625.0000 33 7 0.2121
638.0000 33 8 0.2424
643.0000 34 8 0.2353
658.0000 35 8 0.2286
666.0000 35 9 0.2571
678.0000 36 9 0.2500
682.0000 36 10 0.2778
696.0000 36 11 0.3056
702.0000 37 11 0.2973
723.0000 38 11 0.2895
724.0000 38 12 0.3158
738.0000 39 12 0.3077
754.0000 40 12 0.3000
771.0000 41 12 0.2927
789.0000 42 12 0.2857
810.0000 43 12 0.2791
820.0000 43 13 0.3023
828.0000 44 13 0.2955
847.0000 45 13 0.2889
866.0000 46 13 0.2826
873.0000 46 14 0.3043
885.0000 47 14 0.2979
906.0000 48 14 0.2917
928.0000 49 14 0.2857
949.0000 50 14 0.2800
955.0000 50 15 0.3000
956.0000 50 16 0.3200
965.0000 50 17 0.3400
966.0000 51 17 0.3333
976.0000 51 18 0.3529
981.0000 52 18 0.3462
999.0000 53 18 0.3396
1004.0000 53 19 0.3585
1020.0000 53 20 0.3774
1021.0000 54 20 0.3704
1044.0000 55 20 0.3636
1068.0000 56 20 0.3571
1092.0000 57 20 0.3509
1102.0000 57 21 0.3684
1103.0000 57 22 0.3860
1112.0000 58 22 0.3793
1131.0000 59 22 0.3729
1139.0000 59 23 0.3898
1149.0000 60 23 0.3833
1171.0000 61 23 0.3770
1175.0000 61 24 0.3934
1191.0000 62 24 0.3871
1213.0000 63 24 0.3810
1233.0000 63 25 0.3968
1234.0000 63 26 0.4127
1236.0000 64 26 0.4063
1257.0000 65 26 0.4000
1277.0000 66 26 0.3939
1298.0000 67 26 0.3881
1319.0000 68 26 0.3824
1337.0000 69 26 0.3768
1353.0000 70 26 0.3714
1368.0000 71 26 0.3662
1384.0000 72 26 0.3611
1406.0000 73 26 0.3562
1407.0000 73 27 0.3699
1427.0000 74 27 0.3649
1446.0000 75 27 0.3600
1461.0000 76 27 0.3553
1475.0000 76 28 0.3684
1481.0000 76 29 0.3816
1484.0000 77 29 0.3766
1507.0000 78 29 0.3718
1512.0000 78 30 0.3846
1527.0000 79 30 0.3797
1543.0000 79 31 0.3924
1546.0000 80 31 0.3875
1567.0000 80 32 0.4000
1568.0000 81 32 0.3951
1584.0000 82 32 0.3902
1597.0000 82 33 0.4024
1607.0000 83 33 0.3976
1616.0000 83 34 0.4096
1616.0000 83 35 0.4217
1628.0000 84 35 0.4167
1650.0000 85 35 0.4118
1674.0000 86 35 0.4070
1692.0000 86 36 0.4186
1696.0000 87 36 0.4138
1718.0000 88 36 0.4091
1740.0000 89 36 0.4045
1755.0000 90 36 0.4000
1778.0000 91 36 0.3956
1802.0000 92 36 0.3913
1802.0000 92 37 0.4022
1821.0000 92 38 0.4130
1825.0000 93 38 0.4086
1840.0000 93 39 0.4194
1841.0000 93 40 0.4301
1842.0000 94 40 0.4255
1851.0000 94 41 0.4362
1858.0000 95 41 0.4316
1860.0000 95 42 0.4421
1861.0000 95 43 0.4526
1881.0000 96 43 0.4479
1886.0000 96 44 0.4583
1899.0000 97 44 0.4536
1923.0000 98 44 0.4490
